                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3994,                 4.5068,                0.96361,                0.04876,                0.13593,                0.03932,                 0.0311,                0.79082,                 2.9186,                0.82351,             5.9633e-05,             5.9633e-05,             5.9633e-05
                      2,                0.95607,                 2.9809,                 0.8523,                0.16496,                0.39243,                0.18014,                0.14802,                 0.6674,                 2.2465,                0.80817,             0.00011457,             0.00011457,             0.00011457
                      3,                0.85583,                 2.4065,                0.83965,                0.33497,                0.57601,                0.40105,                0.33894,                0.61527,                 1.7081,                0.80212,             0.00016479,             0.00016479,             0.00016479
                      4,                0.80017,                 1.9649,                0.83311,                0.54662,                0.70024,                0.65062,                0.55953,                0.57353,                 1.2726,                0.79882,             0.00015773,             0.00015773,             0.00015773
                      5,                0.76497,                 1.6342,                0.82825,                0.68425,                0.75801,                0.77253,                0.66681,                0.56014,                 1.0043,                 0.7966,             0.00015065,             0.00015065,             0.00015065
                      6,                0.72712,                 1.3924,                0.82413,                0.74291,                0.82415,                0.84144,                0.73161,                0.53911,                 0.8491,                0.79515,             0.00014356,             0.00014356,             0.00014356
                      7,                0.70876,                  1.245,                0.82152,                0.79507,                0.84223,                 0.8771,                0.76566,                0.53172,                0.75306,                0.79366,             0.00013647,             0.00013647,             0.00013647
                      8,                0.69202,                 1.1388,                 0.8187,                0.81969,                0.86397,                0.89883,                0.78692,                0.52718,                0.69032,                0.79277,             0.00012938,             0.00012938,             0.00012938
                      9,                 0.6816,                 1.0652,                0.81712,                0.82489,                0.89188,                0.91414,                 0.8063,                0.50721,                0.63876,                0.79026,             0.00012229,             0.00012229,             0.00012229
                     10,                0.66477,                 1.0031,                0.81492,                0.85093,                0.89653,                0.92943,                0.82102,                0.50583,                0.59707,                0.78978,              0.0001152,              0.0001152,              0.0001152
                     11,                0.65136,                 0.9577,                0.81297,                0.86645,                0.90727,                0.94112,                0.83585,                0.48934,                0.56521,                0.78815,             0.00010812,             0.00010812,             0.00010812
                     12,                0.64695,                0.91416,                0.81245,                0.85999,                0.91697,                0.94229,                0.83923,                0.48209,                0.54966,                0.78706,             0.00010103,             0.00010103,             0.00010103
                     13,                0.63372,                 0.8749,                0.81007,                0.88124,                0.91537,                0.95112,                0.84557,                0.49011,                0.52677,                0.78799,             9.3939e-05,             9.3939e-05,             9.3939e-05
                     14,                0.62666,                0.84567,                0.81088,                0.88525,                0.93036,                0.95809,                0.85464,                0.48089,                0.50206,                0.78647,             8.6851e-05,             8.6851e-05,             8.6851e-05
                     15,                 0.6218,                0.82525,                0.80831,                0.87921,                 0.9336,                0.95613,                0.85208,                0.48542,                0.50215,                0.78678,             7.9762e-05,             7.9762e-05,             7.9762e-05
                     16,                0.54197,                0.64384,                0.79757,                0.89479,                0.93886,                0.96191,                0.85866,                0.48246,                0.47881,                0.78603,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     17,                0.52706,                0.60908,                0.79538,                0.90644,                0.93174,                0.96572,                0.86755,                0.46672,                0.45904,                0.78511,             6.5586e-05,             6.5586e-05,             6.5586e-05
                     18,                0.52131,                0.58788,                0.79529,                 0.9039,                0.94462,                0.96789,                 0.8708,                0.46291,                0.44767,                0.78447,             5.8497e-05,             5.8497e-05,             5.8497e-05
                     19,                0.51228,                0.57154,                0.79562,                0.90918,                0.94147,                0.97004,                0.87665,                0.45024,                0.43865,                 0.7831,             5.1409e-05,             5.1409e-05,             5.1409e-05
                     20,                0.50615,                0.55283,                0.79414,                0.91435,                0.94787,                0.97231,                0.87752,                0.45153,                0.42661,                 0.7827,              4.432e-05,              4.432e-05,              4.432e-05
                     21,                0.50108,                0.54411,                0.79263,                0.91725,                0.94733,                0.97252,                0.87848,                0.45108,                0.42143,                0.78251,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     22,                0.49936,                0.53305,                0.79412,                0.91811,                0.94403,                0.97216,                 0.8802,                0.44596,                0.41694,                0.78179,             3.0144e-05,             3.0144e-05,             3.0144e-05
                     23,                0.49541,                0.52632,                0.79248,                0.91935,                0.95096,                0.97404,                0.88214,                0.44438,                0.41051,                0.78158,             2.3055e-05,             2.3055e-05,             2.3055e-05
                     24,                0.49197,                0.51753,                0.79145,                0.92517,                0.94868,                0.97483,                0.88392,                0.44262,                0.40534,                 0.7815,             1.5967e-05,             1.5967e-05,             1.5967e-05
                     25,                0.48757,                0.50915,                0.79132,                0.92435,                0.94877,                  0.974,                0.88275,                0.44187,                0.40498,                 0.7814,             8.8784e-06,             8.8784e-06,             8.8784e-06
